"CASE";"gender";"insta";"edu";"age";"plz";"REF";"grp";"l1_regio";"l1_fairbez";"l1_umweltziel";"l1_divinkl";"l1_recycling";"l1_vegan";"l1_transpa";"l1_qual";"l1_kauf";"l2_regio";"l2_fairbez";"l2_umweltziel";"l2_divinkl";"l2_recycling";"l2_vegan";"l2_transpa";"l2_qual";"l2_kauf";"l_regio";"l_fairbez";"l_umweltziel";"l_divinkl";"l_recycling";"l_vegan";"l_transpa";"l_qual";"l_kauf";"grund_regio";"grund_fairbez";"grund_umweltziel";"grund_divinkl";"grund_recycling";"grund_vegan";"grund_preilei";"grund_transpa";"grund_qual"
"1433";NA;NA;NA;NA;NA;"a1";"Grün";"5";"3";"5";"2";"4";"2";"1";"5";"5";"4";"4";"4";"4";"4";"4";"2";"4";"5";"4,5";"3,5";"4,5";"3,0";"4,0";"3,0";"1";"4,5";"5,0";"1";"1";"1";"1";"1";"2";"2";"1";"2"
"1440";"weiblich";"Nein";"Abitur, Hochschulreife";"19";"13";"a2";"Blau";"2";"2";"2";"2";"2";"2";"2";"4";"5";"2";"2";"2";"2";"2";"2";"2";"4";"5";"2,0";"2,0";"2,0";"2,0";"2,0";"2,0";"2";"4,0";"5,0";"1";"2";"1";"1";"1";"1";"2";"1";"2"
"1446";"weiblich";"Ja";"Fachhochschul-/Hochschulabschluss";"26";"14";"a3";"Grün";"4";"3";"3";"3";"4";"4";"3";"3";"2";"1";"3";"3";"3";"4";"4";"3";"4";"2";"2,5";"3,0";"3,0";"3,0";"4,0";"4,0";"3";"3,5";"2,0";"1";"1";"1";"1";"1";"1";"2";"2";"2"
"1454";"weiblich";"Ja";"Abitur, Hochschulreife";"22";"99";"a5";"Blau";"2";"3";"2";"2";"3";"4";"3";"4";"2";"2";"2";"2";"2";"2";"2";"2";"2";"3";"2,0";"2,5";"2,0";"2,0";"2,5";"3,0";"3";"3,0";"2,5";"1";"2";"1";"1";"1";"1";"2";"1";"2"
"1452";"weiblich";"Ja";"Fachhochschul-/Hochschulabschluss";"26";"33";"a5";"Blau";"3";"3";"3";"3";"4";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"5";"3,0";"3,0";"3,0";"3,0";"3,5";"3,0";"3";"3,0";"4,0";"2";"1";"1";"1";"1";"1";"2";"1";"2"
"1465";"männlich";"Ja";"Abitur, Hochschulreife";"22";"99";"a5";"Grün";"3";"3";"3";"3";"3";"4";"3";"3";"3";"4";"3";"4";"3";"4";"4";"3";"3";"3";"3,5";"3,0";"3,5";"3,0";"3,5";"4,0";"3";"3,0";"3,0";"2";"1";"1";"1";"1";"1";"2";"1";"2"
"1472";"männlich";"Ja";"Abitur, Hochschulreife";"21";"13";"a2";"Grün";"3";"3";"3";"2";"5";"4";"3";"4";"5";"4";"3";"5";"4";"5";"3";"3";"2";"2";"3,5";"3,0";"4,0";"3,0";"5,0";"3,5";"3";"3,0";"3,5";"2";"2";"1";"1";"1";"1";"2";"1";"1"
"1479";"weiblich";"Ja";"Abgeschlossene Lehre/Ausbildung";"24";"12";"a3";"Blau";"2";"2";"2";"3";"2";"2";"2";"4";"4";"2";"4";"4";"5";"4";"4";"4";"4";"2";"2,0";"3,0";"3,0";"4,0";"3,0";"3,0";"2";"4,0";"3,0";"1";"2";"1";"1";"1";"2";"2";"1";"1"
"1486";"weiblich";"Nein";"Abitur, Hochschulreife";"21";"13";"a5";"Grün";"4";"3";"4";"2";"4";"3";"4";"4";"3";"2";"3";"2";"4";"2";"3";"2";"2";"5";"3,0";"3,0";"3,0";"3,0";"3,0";"3,0";"4";"3,0";"4,0";"1";"1";"1";"2";"1";"1";"2";"1";"2"
"1491";"weiblich";"Ja";"Abitur, Hochschulreife";"19";"14";"a2";"Blau";"1";"1";"1";"1";"2";"1";"1";"1";"5";"1";"1";"1";"1";"1";"1";"1";"1";"5";"1,0";"1,0";"1,0";"1,0";"1,5";"1,0";"1";"1,0";"5,0";"1";"1";"1";"1";"2";"1";"2";"1";"2"
